Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
104,1,2,2,64,1,16.9081,317.8384,169.4393,3,1,2,3,1,0,0,169.4393,153.5422,3.7324,-15.8971,20,
104,1,2,2,65,1,139.6308,166.4925,256.6904,1,2,3,1,1,0,0,139.6308,146.5361,3.3823,6.9053,30,
104,1,2,1,66,1,346.3991,77.235,47.9379,1,2,3,3,0,0,1,47.9379,55.164,3.0621,7.2261,30,
104,1,2,2,67,1,349.442,316.1658,289.308,3,2,1,3,1,0,0,289.308,298.8751,1.7215,9.5671,30,
104,1,2,1,68,1,287.6372,108.625,348.0371,2,3,1,3,0,1,0,348.0371,304.1107,5.1934,-43.9264,-5,
104,1,2,1,69,1,349.0746,135.7025,259.3993,3,2,1,3,1,0,0,259.3993,224.6413,2.5217,-34.758,0,
104,1,2,1,70,1,15.4219,229.8604,285.1573,2,3,1,2,1,0,0,229.8604,228.2068,4.6132,-1.6536,40,
104,1,2,1,71,1,318.2673,77.4483,349.8643,3,2,1,3,1,0,0,349.8643,10.0158,2.9719,20.1515,20,
104,1,2,1,72,1,287.6205,225.601,105.889,3,2,1,1,0,0,1,287.6205,299.0068,2.5417,11.3863,30,
104,1,2,1,73,1,77.9122,257.105,345.4603,1,3,2,1,1,0,0,77.9122,55.3478,2.3215,-22.5643,10,
104,1,2,1,74,1,15.8762,165.966,258.0821,3,1,2,3,1,0,0,258.0821,267.7635,1.6011,9.6813,30,
104,1,2,1,75,1,288.861,317.3768,18.4045,2,3,1,2,1,0,0,317.3768,342.9014,3.5027,25.5246,10,
104,1,2,2,76,1,139.1315,79.956,197.6197,2,3,1,2,1,0,0,79.956,73.1339,1.8112,-6.8221,30,
104,1,2,2,77,1,317.3578,347.715,225.2985,1,2,3,2,0,1,0,347.715,NaN,100000,999,0,
104,1,2,1,78,1,79.1667,256.0186,227.7221,1,3,2,2,0,0,1,256.0186,263.3431,3.212,7.3245,30,
104,1,2,2,79,1,165.6614,49.3524,348.0148,2,1,3,3,0,0,1,348.0148,326.9825,2.6718,-21.0322,10,
