Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
124,1,2,1,69,1,349.0746,135.7025,259.3993,3,2,1,3,1,0,0,259.3993,229.9466,3.7225,-29.4527,10,
124,1,2,1,70,1,15.4219,229.8604,285.1573,2,3,1,2,1,0,0,229.8604,227.7668,2.5618,-2.0937,40,
124,1,2,1,71,1,318.2673,77.4483,349.8643,3,2,1,3,1,0,0,349.8643,339.4719,1.8313,-10.3923,30,
124,1,2,1,72,1,287.6205,225.601,105.889,3,2,1,1,0,0,1,287.6205,300.2307,2.1014,12.6102,20,
124,1,2,1,73,1,77.9122,257.105,345.4603,1,3,2,1,1,0,0,77.9122,359.3621,3.3223,-78.5501,-20,
124,1,2,1,74,1,15.8762,165.966,258.0821,3,1,2,3,1,0,0,258.0821,232.1545,1.4911,-25.9276,10,
124,1,2,1,75,1,288.861,317.3768,18.4045,2,3,1,2,1,0,0,317.3768,292.6773,2.1215,-24.6995,10,
124,1,2,2,76,1,139.1315,79.956,197.6197,2,3,1,2,1,0,0,79.956,61.8104,1.2309,-18.1456,20,
124,1,2,2,77,1,317.3578,347.715,225.2985,1,2,3,2,0,1,0,347.715,NaN,100000,999,0,
124,1,2,1,78,1,79.1667,256.0186,227.7221,1,3,2,2,0,0,1,256.0186,234.8987,2.1715,-21.1199,10,
124,1,2,2,79,1,165.6614,49.3524,348.0148,2,1,3,3,0,0,1,348.0148,340.7951,1.6111,-7.2197,30,
124,1,2,2,80,1,76.8968,319.3234,17.0998,3,1,2,3,1,0,0,17.0998,27.3654,1.6612,10.2655,30,
124,1,2,2,81,1,349.1405,287.5372,16.8308,2,3,1,2,1,0,0,287.5372,300.2263,1.8312,12.6891,20,
124,1,2,2,82,1,167.8456,109.3752,136.7429,2,1,3,1,0,1,0,167.8456,NaN,100000,999,0,
124,1,2,1,83,1,17.3376,75.7067,45.3407,2,1,3,2,1,0,0,75.7067,59.7217,1.0007,-15.9849,20,
124,1,2,1,84,1,346.2021,48.4245,319.1963,3,1,2,3,1,0,0,319.1963,312.4775,1.5611,-6.7188,30,
124,1,2,1,85,1,316.9479,48.8765,285.8968,3,1,2,3,1,0,0,285.8968,296.9313,1.391,11.0344,30,
124,1,2,1,86,1,169.6136,317.8213,17.1573,2,1,3,2,1,0,0,317.8213,333.6494,3.7626,15.8281,20,
124,1,2,1,87,1,79.9629,257.2792,17.1302,2,1,3,2,1,0,0,257.2792,300.0632,2.7819,42.784,-5,
124,1,2,1,88,1,348.4165,318.0428,46.0983,3,1,2,3,1,0,0,46.0983,31.4087,1.5511,-14.6896,20,
124,1,2,1,89,1,169.7606,319.8793,345.1546,1,2,3,1,1,0,0,169.7606,320.8368,1.8713,151.0762,-20,
124,1,2,1,90,1,196.2163,77.8571,319.9086,1,2,3,1,1,0,0,196.2163,180.2935,1.0908,-15.9228,20,
124,1,2,2,91,1,165.7083,257.1895,196.7519,3,1,2,3,1,0,0,196.7519,216.5177,1.5411,19.7658,20,
124,1,2,1,92,1,77.8463,166.2439,346.5965,3,1,2,2,0,0,1,166.2439,37.7279,3.8425,-128.5159,-20,
124,1,2,2,93,1,138.0017,285.425,169.6118,3,2,1,2,0,1,0,285.425,NaN,100000,999,0,
124,1,2,1,94,1,15.2493,78.4264,168.1014,3,1,2,2,0,0,1,78.4264,94.3864,1.7212,15.9599,20,
124,1,2,1,95,1,226.5739,288.6337,107.5789,1,3,2,1,1,0,0,226.5739,242.155,2.7319,15.5811,20,
124,1,2,1,96,1,105.3874,229.2531,45.7226,1,3,2,3,0,1,0,45.7226,73.1685,3.3323,27.4458,10,
124,1,2,2,97,1,256.898,166.5953,19.9303,2,3,1,1,0,0,1,256.898,231.6662,2.8619,-25.2318,10,
124,1,2,2,98,1,289.4674,317.3291,167.8043,2,1,3,2,1,0,0,317.3291,290.2739,1.441,-27.0552,10,
124,1,2,1,99,1,46.0259,137.1957,345.1363,2,1,3,3,0,0,1,345.1363,175.9354,2.4417,-169.2009,-20,
124,1,2,1,100,1,137.2818,345.2392,78.6913,2,3,1,2,1,0,0,345.2392,334.6279,1.1508,-10.6113,30,
124,1,2,1,101,1,17.9852,347.153,168.6536,1,2,3,2,0,1,0,347.153,340.1588,1.451,-6.9942,30,
124,1,2,2,102,1,46.2094,138.7992,16.4546,2,3,1,2,1,0,0,138.7992,138.4581,1.5011,-0.34109,40,
124,1,2,2,103,1,47.4481,196.3491,19.9487,2,1,3,1,0,1,0,47.4481,NaN,100000,999,0,
124,1,2,1,104,1,79.478,197.4125,17.2137,1,2,3,1,1,0,0,79.478,64.3671,2.4917,-15.1109,20,
124,1,2,2,105,1,228.6452,46.0131,106.0814,3,2,1,3,1,0,0,106.0814,301.2741,0.71056,-164.8073,-20,
124,1,2,1,106,1,198.0216,317.5822,285.0375,3,1,2,3,1,0,0,285.0375,300.4685,0.751,15.431,20,
124,1,2,2,107,1,106.7555,165.2715,258.5435,3,2,1,2,0,1,0,165.2715,NaN,100000,999,0,
124,1,2,1,108,1,287.5553,75.1388,49.9519,2,3,1,2,1,0,0,75.1388,232.5917,0.97069,157.4529,-20,
124,1,2,2,109,1,255.0301,199.0096,77.487,2,3,1,2,1,0,0,199.0096,240.5021,1.7111,41.4926,-5,
124,1,2,1,110,1,135.1732,347.2556,15.069,1,2,3,1,1,0,0,135.1732,144.7727,1.3615,9.5996,30,
124,1,2,1,111,1,79.7346,257.5505,108.9594,1,2,3,2,0,1,0,257.5505,274.6107,2.0614,17.0602,20,
124,1,2,2,112,1,286.7105,229.0856,257.6584,3,2,1,3,1,0,0,257.6584,249.9078,1.0807,-7.7506,30,
124,1,2,2,113,1,76.4914,257.4826,349.4495,3,1,2,3,1,0,0,349.4495,343.8988,1.4509,-5.5508,30,
124,1,2,2,114,1,166.0175,289.0689,346.9672,1,3,2,1,1,0,0,166.0175,184.3282,1.5711,18.3107,20,
124,1,2,2,115,1,16.4322,288.4356,345.7057,2,1,3,2,1,0,0,288.4356,297.336,1.3009,8.9003,30,
124,1,2,1,116,1,258.9694,197.3455,166.5476,2,1,3,2,1,0,0,197.3455,212.4076,2.2115,15.0621,20,
124,1,2,2,117,1,287.7349,347.0148,225.5352,1,2,3,2,0,1,0,347.0148,NaN,100000,999,0,
124,1,2,2,118,1,316.6124,259.8807,106.3911,2,1,3,2,1,0,0,259.8807,242.835,1.6814,-17.0458,20,
124,1,2,2,119,1,16.1746,316.9945,136.3406,1,2,3,1,1,0,0,16.1746,354.4551,2.1315,-21.7195,10,
124,1,2,2,120,1,287.342,347.5171,229.5527,1,2,3,1,1,0,0,287.342,322.4345,2.6418,35.0925,0,
124,1,3,1,121,1,228.8403,286.1655,17.9368,1,3,2,1,1,0,0,228.8403,257.8194,3.2221,28.9791,10,
124,1,3,1,122,1,258.5045,165.0311,226.8717,3,1,2,3,1,0,0,226.8717,204.8983,0.87062,-21.9734,10,
124,1,3,1,123,1,286.589,139.9222,347.7413,2,3,1,1,0,0,1,286.589,256.4535,2.952,-30.1355,0,
124,1,3,1,124,1,139.2986,258.3886,79.0292,1,2,3,2,0,1,0,258.3886,262.9469,1.9313,4.5583,30,
124,1,3,2,125,1,75.512,349.7956,225.7645,2,1,3,1,0,1,0,75.512,NaN,100000,999,0,
124,1,3,2,126,1,76.5253,18.9491,46.1819,2,1,3,1,0,1,0,76.5253,NaN,100000,999,0,
124,1,3,1,127,1,135.2611,167.8559,18.7383,3,2,1,3,1,0,0,18.7383,14.3803,1.4209,-4.3581,30,
124,1,3,2,128,1,259.4756,228.4215,348.2842,2,3,1,3,0,1,0,348.2842,NaN,100000,999,0,
124,1,3,1,129,1,46.0689,228.2283,166.9032,1,3,2,1,1,0,0,46.0689,346.4362,2.2215,-59.6327,-10,
124,1,3,1,130,1,18.8974,229.7742,109.598,3,2,1,3,1,0,0,109.598,116.2623,2.2315,6.6642,30,
124,1,3,2,131,1,349.0469,108.044,137.3996,1,3,2,1,1,0,0,349.0469,6.8928,2.4517,17.8459,20,
124,1,3,2,132,1,138.5406,169.2969,228.9054,1,2,3,2,0,1,0,169.2969,NaN,100000,999,0,
124,1,3,1,133,1,78.0327,228.5732,17.0077,2,1,3,2,1,0,0,228.5732,230.6049,1.7912,2.0316,40,
124,1,3,1,134,1,165.2792,105.6911,289.3153,1,3,2,1,1,0,0,165.2792,179.1284,1.5011,13.8491,20,
124,1,3,2,135,1,197.0044,169.975,226.305,1,3,2,1,1,0,0,197.0044,179.7094,0.84059,-17.295,20,
124,1,3,2,136,1,165.4231,347.9109,105.7653,1,2,3,3,0,0,1,105.7653,112.8551,1.8013,7.0897,30,
124,1,3,1,137,1,19.5946,288.0127,78.5107,3,2,1,3,1,0,0,78.5107,86.1908,1.6211,7.6801,30,
124,1,3,1,138,1,109.3055,256.0496,76.9955,2,1,3,2,1,0,0,256.0496,250.5095,1.8713,-5.5401,30,
124,1,3,2,139,1,288.1673,139.9305,316.0358,1,3,2,1,1,0,0,288.1673,291.1193,1.3709,2.952,40,
124,1,3,1,140,1,345.1987,289.9428,198.4309,2,1,3,2,1,0,0,289.9428,292.7037,2.0415,2.7609,40,
124,1,3,2,141,1,106.1302,286.805,256.6228,3,2,1,3,1,0,0,256.6228,282.0049,1.2209,25.3821,10,
124,1,3,1,142,1,315.6413,16.2646,199.4198,3,2,1,2,0,1,0,16.2646,62.2819,1.2509,46.0174,-5,
124,1,3,2,143,1,48.376,18.0051,316.7315,1,3,2,1,1,0,0,48.376,59.795,2.0013,11.419,30,
124,1,3,1,144,1,49.3067,197.3195,137.8527,2,1,3,1,0,1,0,49.3067,48.1049,1.7511,-1.2018,40,
124,1,3,1,145,1,229.9147,258.5482,345.8772,1,3,2,1,1,0,0,229.9147,228.6346,1.6812,-1.2801,40,
124,1,3,1,146,1,258.1158,165.1316,346.594,2,1,3,2,1,0,0,165.1316,179.3652,2.0314,14.2337,20,
124,1,3,1,147,1,135.7593,46.9033,109.1051,3,2,1,1,0,0,1,135.7593,170.8948,1.6411,35.1355,0,
124,1,3,2,148,1,198.0677,319.9403,16.0995,2,1,3,2,1,0,0,319.9403,203.6974,1.5311,-116.2429,-20,
124,1,3,1,149,1,135.5949,109.6327,197.9678,3,2,1,3,1,0,0,197.9678,167.678,1.8413,-30.2898,0,
124,1,3,2,150,1,106.1333,288.515,198.7708,2,3,1,2,1,0,0,288.515,294.897,3.1521,6.382,30,
124,1,3,2,151,1,258.6013,318.3939,16.0638,2,3,1,2,1,0,0,318.3939,262.5649,1.5911,-55.829,-10,
124,1,3,1,152,1,16.8767,287.4019,46.7121,1,3,2,2,0,0,1,287.4019,311.8086,2.0215,24.4067,10,
124,1,3,1,153,1,315.1096,259.0414,45.896,2,3,1,2,1,0,0,259.0414,306.7136,1.7112,47.6722,-5,
124,1,3,2,154,1,259.1191,15.6305,46.5006,1,2,3,1,1,0,0,259.1191,25.6044,2.3116,126.4853,-20,
124,1,3,2,155,1,18.6466,139.2992,198.1348,2,3,1,2,1,0,0,139.2992,150.1609,1.5611,10.8617,30,
124,1,3,1,156,1,135.7432,78.2906,18.1699,2,3,1,1,0,0,1,135.7432,176.4456,1.5711,40.7024,-5,
124,1,3,2,157,1,199.3117,259.482,105.9451,2,3,1,3,0,1,0,105.9451,NaN,100000,999,0,
124,1,3,1,158,1,347.713,199.3067,229.5457,2,3,1,1,0,0,1,347.713,352.3303,2.3917,4.6173,30,
124,1,3,1,159,1,106.3573,169.3394,258.7075,1,2,3,1,1,0,0,106.3573,112.2745,1.6712,5.9172,30,
124,1,3,1,160,1,319.1445,286.073,108.9552,3,2,1,2,0,1,0,286.073,325.6763,1.6911,39.6032,0,
124,1,3,2,161,1,47.6116,196.9868,347.3955,1,2,3,1,1,0,0,47.6116,58.9881,4.8032,11.3766,30,
124,1,3,1,162,1,255.1617,287.7853,138.599,3,1,2,3,1,0,0,138.599,135.7474,1.5211,-2.8516,40,
124,1,3,2,163,1,199.6661,349.858,316.8046,3,1,2,1,0,1,0,199.6661,NaN,100000,999,0,
124,1,3,2,164,1,108.5272,45.0251,168.9126,1,2,3,1,1,0,0,108.5272,181.2049,1.2708,72.6777,-20,
124,1,3,1,165,1,45.5213,257.3488,166.0953,3,2,1,3,1,0,0,166.0953,151.2826,1.7913,-14.8127,20,
124,1,3,2,166,1,228.9608,165.7272,347.4457,3,2,1,1,0,0,1,228.9608,195.4695,1.8816,-33.4913,0,
124,1,3,1,167,1,18.1927,227.9709,317.4931,3,2,1,3,1,0,0,317.4931,300.1414,1.1312,-17.3517,20,
124,1,3,1,168,1,76.7813,257.3779,108.3551,2,3,1,2,1,0,0,257.3779,255.0873,3.3823,-2.2906,40,
124,1,3,2,169,1,226.6564,47.2663,168.6869,1,2,3,2,0,1,0,47.2663,NaN,100000,999,0,
124,1,3,2,170,1,165.9661,288.4472,45.2523,2,3,1,2,1,0,0,288.4472,331.553,1.8213,43.1058,-5,
124,1,3,2,171,1,46.0426,138.3291,199.8667,3,2,1,3,1,0,0,199.8667,222.9907,1.3209,23.1239,10,
124,1,3,1,172,1,166.9705,46.7964,105.4443,2,1,3,3,0,0,1,105.4443,119.2855,2.0113,13.8412,20,
124,1,3,1,173,1,347.8786,199.2117,287.4986,3,1,2,3,1,0,0,287.4986,300.4533,0.80056,12.9547,20,
124,1,3,2,174,1,79.7156,195.5635,48.2414,2,1,3,1,0,1,0,79.7156,NaN,100000,999,0,
124,1,3,2,175,1,168.2646,46.9074,256.5001,3,1,2,3,1,0,0,256.5001,295.8749,0.8408,39.3748,0,
124,1,3,2,176,1,258.094,197.2651,15.0508,1,3,2,1,1,0,0,258.094,241.3358,2.3616,-16.7582,20,
124,1,3,2,177,1,225.6266,256.8224,108.3812,3,1,2,3,1,0,0,108.3812,128.735,2.782,20.3539,20,
124,1,3,2,178,1,289.3621,108.0063,316.6059,2,3,1,2,1,0,0,108.0063,57.0243,3.3723,-50.982,-10,
124,1,3,1,179,1,225.1131,285.3254,19.6198,2,3,1,1,0,0,1,225.1131,282.7264,2.6118,57.6132,-10,
124,1,3,1,180,1,318.3728,139.1758,108.2824,2,1,3,2,1,0,0,139.1758,117.8518,1.7312,-21.324,10,
124,1,4,1,181,1,287.5532,256.9261,316.553,3,2,1,1,0,0,1,287.5532,232.5085,2.892,-55.0446,-10,
124,1,4,1,182,1,16.188,349.0879,137.0291,3,2,1,3,1,0,0,137.0291,153.2642,1.6011,16.2351,20,
124,1,4,1,183,1,345.3449,225.8339,289.7372,1,2,3,1,1,0,0,345.3449,182.5238,0.91109,-162.8211,-20,
124,1,4,2,184,1,255.0117,168.201,289.0159,1,2,3,2,0,1,0,168.201,NaN,100000,999,0,
124,1,4,1,185,1,316.1959,45.1463,108.5116,1,2,3,2,0,1,0,45.1463,204.975,2.1014,159.8287,-20,
124,1,4,1,186,1,18.8133,199.0351,258.1648,3,1,2,3,1,0,0,258.1648,229.6497,1.451,-28.515,10,
124,1,4,2,187,1,169.2032,77.3441,227.7261,3,2,1,1,0,0,1,169.2032,182.0539,1.0408,12.8507,20,
124,1,4,2,188,1,257.3923,196.6026,18.0079,2,1,3,2,1,0,0,196.6026,222.5586,2.2116,25.9561,10,
124,1,4,2,189,1,106.5352,165.3053,256.0974,2,3,1,3,0,1,0,256.0974,NaN,100000,999,0,
124,1,4,2,190,1,196.8422,135.039,78.0135,2,1,3,3,0,0,1,78.0135,66.5401,2.1715,-11.4734,30,
124,1,4,1,191,1,345.6151,137.8998,46.6427,3,1,2,3,1,0,0,46.6427,54.1761,1.9114,7.5334,30,
124,1,4,2,192,1,167.1523,137.0811,228.6438,1,2,3,1,1,0,0,167.1523,171.8782,4.043,4.7259,30,
